description,parole_chiave
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,person driving motor vehicle license suspended 17106 26204 26206 27103
EXCEEDING MAXIMUM SPEED 58 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 58 mph posted 35 mph zone
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
FAIL AND REFUSE TO SURRENDER TO ADM ON LAWFUL DEMAND SUSPENDED LIC,fail refuse surrender adm lawful demand suspended lic
DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE,driver fail stop flashing red traffic signal stop line
DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,driving vehicle highway expired license
DRIVING WHILE IMPAIRED BY ALCOHOL,driving impaired alcohol
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,driver failure stop steady circular red signal
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle influence alcohol
DRIVING VEH IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HWY,driving veh excess reasonable prudent speed hwy
RT TURN FROM IMPROPER ROAD POSITION,rt turn improper road position
FAILING TO DISPLAY PROPER VEHICLE ID,failing display proper vehicle id
DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,driver turning left fail yield right way vehicle approaching opposite direction
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,person driving motor vehicle license suspended 17106 26204 26206 27103
DRIVING MOTOR VEH WHILE LIC SUSPENDED UNDER 27103,driving motor veh lic suspended 27103
DRIVING UNSAFE VEH ON HWY,driving unsafe veh hwy
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,failure attach vehicle registration plates front rear
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,failure licensee notify administration change address within 30 days
DRIVER FAILURE TO STOP AT STOP SIGN LINE,driver failure stop stop sign line
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
DRIVING VEH WHILE SO FAR IMPAIRED BY ALCOHOL CANNOT DRIVE SAFELY,driving veh far impaired alcohol drive safely
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 44 mph posted 35 mph zone
EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 44 mph posted 35 mph zone
FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERG VEH,failure dr make lane change avail lane immed adj stopped emerg veh
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 39 mph posted 30 mph zone
DRIVER FAIL TO MAKE REQUIRED STOP AT SIGN,driver fail make required stop sign
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle influence alcohol
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued state
DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,driver motor vehicle following vehicle closer reasonable prudent
AGGRESSIVE DRIVING,aggressive driving
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106 26204 26206 27103,person driving motor vehicle license suspended tr 17106 26204 26206 27103
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,failure control vehicle speed highway avoid collision
EXCEEDING POSTED MAXIMUM SPEED LIMIT 67 MPH IN A POSTED 45 MPH ZONE,exceeding posted maximum speed limit 67 mph posted 45 mph zone
STOPPING VEH ON CROSSWALK,stopping veh crosswalk
DRIVING A COMMERCIAL MOTOR VEH WO COMMERCIAL DRIVERS LICENSE IN POSSESSION,driving commercial motor veh wo commercial drivers license possession
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,driving vehicle highway without current registration plates validation tabs
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle influence alcohol
FAILURE TO CONTROL VEH SPEED ON HWY TO AVOID COLLISION,failure control veh speed hwy avoid collision
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving motor vehicle highway without required license authorization
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving motor vehicle highway without required license authorization
FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMER,failure dr make lane change avail lane immed adj stopped emer
OPERATOR NOT RESTRAINED BY SEATBELT,operator restrained seatbelt
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL PER SE,driving vehicle influence alcohol per se
KNOWINGLY DRIVING UNINSURED VEHICLE,knowingly driving uninsured vehicle
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DISPLAY SUSPENDED LIC,display suspended lic
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,failure control vehicle speed highway avoid collision
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,person driving motor vehicle license suspended 17106 26204 26206 27103
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,driver using hands use handheld telephone whilemotor vehicle motion
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
DRIVING WO CURRENT TAGS,driving wo current tags
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 39 mph posted 30 mph zone
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle influence alcohol
DRIVER WHEN TURNING LEFT FAIL TO YIELD RIGHT OF WAY TO VEHICLE APPROACHING FROM OPPOSITE DIRECTION,driver turning left fail yield right way vehicle approaching opposite direction
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,driver failure stop steady circular red signal
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle influence alcohol
DRIVING WHILE IMPAIRED BY ALCOHOL,driving impaired alcohol
EXCEEDING MAXIMUM SPEED 80 MPH IN A POSTED 55 MPH ZONE,exceeding maximum speed 80 mph posted 55 mph zone
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle influence alcohol
DRIVING VEHICLE IN VIOLATION OF RESTRICTED LICENSE REQUIREMENT,driving vehicle violation restricted license requirement
EXCEEDING MAXIMUM SPEED 38 MPH IN A POSTED 25 MPH ZONE,exceeding maximum speed 38 mph posted 25 mph zone
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
HOLDER OF LEARNERS PERMIT DRIVING WO REQ SUPERVISION,holder learners permit driving wo req supervision
WILLFULLY DISOBEYING LAWFUL ORDER AND DIRECTION OF POLICE OFFICER,willfully disobeying lawful order direction police officer
DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,driver motor vehicle following vehicle closer reasonable prudent
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,negligent driving vehicle careless imprudent manner endangering property life person
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes unsafe
PERMITTING VEH TO BE DRIVEN ON HWY WO CURRENT REGISTRATION VALIDATION TABS ISSUED BY ADM,permitting veh driven hwy wo current registration validation tabs issued adm
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVER FAIL TO STOP AT STEADY CIRCULAR RED SIGNAL OR AT STEADY RED ARROW SIGNAL,driver fail stop steady circular red signal steady red arrow signal
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,negligent driving vehicle careless imprudent manner endangering property life person
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,person driving motor vehicle license suspended 17106 26204 26206 27103
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUTOFSTATE LICENSE,person driving motor vehicle highway public use property suspended outofstate license
DRIVING ATTEMPTING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving attempting drive motor vehicle highway without required license authorization
HOLDER OF LEARNERS PERMIT DRIVING WO REQ SUPERVISION,holder learners permit driving wo req supervision
DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS,driver failure obey designated lane directions
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle influence alcohol
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,failure control vehicle speed highway avoid collision
EXCEEDING POSTED MAXIMUM SPEED LIMIT 49 MPH IN A POSTED 40 MPH ZONE,exceeding posted maximum speed limit 49 mph posted 40 mph zone
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
DRIVER WRITINGSENDINGREADING A TEXTELECTRONIC MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY,driver writingsendingreading textelectronic msg oper veh travel portion hwy
ATTEMPT BY DRIVER TO ELUDE POLICE IN OFFICIAL POLICE VEH BY FLEEING ON FOOT,attempt driver elude police official police veh fleeing foot
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL PER SE,driving vehicle influence alcohol per se
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 39 mph posted 30 mph zone
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,driver failure stop steady circular red signal
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,failure attach vehicle registration plates front rear
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,operating vehicle highway unauthorized window tinting material
EXCEEDING MAXIMUM SPEED 54 MPH IN A POSTED 45 MPH ZONE,exceeding maximum speed 54 mph posted 45 mph zone
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,failure attach vehicle registration plates front rear
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 39 mph posted 30 mph zone
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle influence alcohol
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106 26204 26206 27103,person driving motor vehicle license suspended tr 17106 26204 26206 27103
DRIVER FAILURE TO STOP AT STOP SIGN LINE,driver failure stop stop sign line
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 39 mph posted 30 mph zone
EXCEEDING MAXIMUM SPEED 55 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 55 mph posted 35 mph zone
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes unsafe
DRIVER FAILURE TO STOP BEFORE ENTERING CROSSING HWY FROM PRIVATE ROAD DRIVEWAY,driver failure stop entering crossing hwy private road driveway
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,failure drive vehicle right half roadway required
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,failure control vehicle speed highway avoid collision
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving drive motor vehicle highway without required license authorization
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,failure licensee notify administration change address within 30 days
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued state
OPERATOR NOT RESTRAINED BY SEATBELT,operator restrained seatbelt
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,driver failure stop steady circular red signal
POSSESSING SUSPENDED LIC,possessing suspended lic
FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM COVERS,failure maintain legible registration plate free covers
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,driver using hands use handheld telephone whilemotor vehicle motion
EXCEEDING MAXIMUM SPEED 80 MPH IN A POSTED 55 MPH ZONE,exceeding maximum speed 80 mph posted 55 mph zone
OPER MV WITH OPERATOR NOT RESTRAINED BY SEATBELT,oper mv operator restrained seatbelt
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,driver motor vehicle following vehicle closer reasonable prudent
KNOWINGLY DRIVING UNINSURED VEHICLE,knowingly driving uninsured vehicle
DISPLAY CAUSE PERMIT TO BE DISPLAYED SUSPENDED LIC,display cause permit displayed suspended lic
DRIVING ATTEMPTING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving attempting drive motor vehicle highway without required license authorization
EXCEEDING MAXIMUM SPEED 49 MPH IN A POSTED 40 MPH ZONE,exceeding maximum speed 49 mph posted 40 mph zone
DRIVER MAKING IMPROPER TURN AT INTERSECTION,driver making improper turn intersection
FAILURE TO CONTROL VEH SPEED ON HWY TO AVOID COLLISION,failure control veh speed hwy avoid collision
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
EXCEEDING MAXIMUM SPEED 39 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 39 mph posted 30 mph zone
DRIVER FAILURE TO STOP AT STOP SIGN BEFORE ENTERING CROSSWALK,driver failure stop stop sign entering crosswalk
EXCEEDING MAXIMUM SPEED 49 MPH IN A POSTED 40 MPH ZONE,exceeding maximum speed 49 mph posted 40 mph zone
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
NEGLIGENT DRIVING VEHICLE IN CARELESS AND IMPRUDENT MANNER ENDANGERING PROPERTY LIFE AND PERSON,negligent driving vehicle careless imprudent manner endangering property life person
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,failure licensee notify administration change address within 30 days
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS,driving vehicle highway without current registration plates validation tabs
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving motor vehicle highway without required license authorization
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,person driving motor vehicle license suspended 17106 26204 26206 27103
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL PER SE,driving vehicle influence alcohol per se
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,driver using hands use handheld telephone whilemotor vehicle motion
DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,driving vehicle highway expired license
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,person driving motor vehicle license suspended 17106 26204 26206 27103
DRIVER USING HANDS TO USE HANDHELD TELEPHONE WHILEMOTOR VEHICLE IS IN MOTION,driver using hands use handheld telephone whilemotor vehicle motion
EXCEEDING MAXIMUM SPEED 47 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 47 mph posted 30 mph zone
DRIVING WHILE IMPAIRED BY ALCOHOL,driving impaired alcohol
DRIVING WHILE IMPAIRED BY ALCOHOL,driving impaired alcohol
AGGRESSIVE DRIVING,aggressive driving
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,failure control vehicle speed highway avoid collision
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,failure drive vehicle right half roadway required
DRIVER FAILURE TO STOP AT STEADY CIRCULAR RED SIGNAL,driver failure stop steady circular red signal
FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED,failure display two lighted front lamps required
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,reckless driving vehicle wanton willful disregard safety persons property
OPERATING VEHICLE ON HIGHWAY WITH UNAUTHORIZED WINDOW TINTING MATERIAL,operating vehicle highway unauthorized window tinting material
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
FAILURE TO CONTROL VEH SPEED ON HWY TO AVOID COLLISION,failure control veh speed hwy avoid collision
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUTOFSTATE LICENSE,person driving motor vehicle highway public use property suspended outofstate license
FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED,failure drive vehicle right half roadway required
EXCEEDING MAXIMUM SPEED 74 MPH IN A POSTED 55 MPH ZONE,exceeding maximum speed 74 mph posted 55 mph zone
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,person driving motor vehicle license suspended 17106 26204 26206 27103
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED LICENSE AND PRIVILEGE,person driving motor vehicle highway public use property suspended license privilege
FAILURE TO CONTROL VEH SPEED ON HWY TO AVOID COLLISION,failure control veh speed hwy avoid collision
DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,driving vehicle highway suspended registration
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving motor vehicle highway without required license authorization
DRIVING VEH WHILE SO FAR IMPAIRED BY DRUGS CANNOT DRIVE SAFELY,driving veh far impaired drugs drive safely
DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL,driving vehicle influence alcohol
DRIVING VEH WHILE IMPAIRED BY ALCOHOL,driving veh impaired alcohol
FAILURE TO CONTROL VEHICLE SPEED ON HIGHWAY TO AVOID COLLISION,failure control vehicle speed highway avoid collision
EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 44 mph posted 35 mph zone
DRIVING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving drive motor vehicle highway without required license authorization
DRIVING WHILE IMPAIRED BY ALCOHOL,driving impaired alcohol
EXCEEDING MAXIMUM SPEED 53 MPH IN A POSTED 30 MPH ZONE,exceeding maximum speed 53 mph posted 30 mph zone
PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED OUTOFSTATE LICENSE,person driving motor vehicle highway public use property revoked outofstate license
OPER MOTOR VEH WITH OPERATOR NOT RESTRAINED BY SEAT BELT,oper motor veh operator restrained seat belt
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
EXCEEDING POSTED MAXIMUM SPEED LIMIT 57 MPH IN A POSTED 40 MPH ZONE,exceeding posted maximum speed limit 57 mph posted 40 mph zone
DRIVING WHILE IMPAIRED BY ALCOHOL,driving impaired alcohol
EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 35 MPH ZONE,exceeding maximum speed 44 mph posted 35 mph zone
PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 17106 26204 26206 27103,person driving motor vehicle license suspended 17106 26204 26206 27103
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
EXCEEDING POSTED MAXIMUM SPEED LIMIT 65 MPH IN A POSTED 40 MPH ZONE,exceeding posted maximum speed limit 65 mph posted 40 mph zone
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
RECKLESS DRIVING VEHICLE IN WANTON AND WILLFUL DISREGARD FOR SAFETY OF PERSONS AND PROPERTY,reckless driving vehicle wanton willful disregard safety persons property
OPERATING UNREGISTERED MOTOR VEHICLE ON HIGHWAY,operating unregistered motor vehicle highway
FAILURE TO DISPLAY REGISTRATION CARD UPON DEMAND BY POLICE OFFICER,failure display registration card upon demand police officer
DRIVING MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION,driving motor vehicle highway without required license authorization
DRIVING WHILE SUSP UNDER 17106,driving susp 17106
DRIVER FAILURE TO OBEY PROPERLY PLACED TRAFFIC CONTROL DEVICE INSTRUCTIONS,driver failure obey properly placed traffic control device instructions
DRIVER CHANGING LANES WHEN UNSAFE,driver changing lanes unsafe
EXCEEDING POSTED MAXIMUM SPEED LIMIT 49 MPH IN A POSTED 40 MPH ZONE,exceeding posted maximum speed limit 49 mph posted 40 mph zone
DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,driving vehicle highway expired license
FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR,failure attach vehicle registration plates front rear
POSSESSING SUSPENDED LIC,possessing suspended lic
FAILURE OF LICENSEE TO NOTIFY ADMINISTRATION OF CHANGE OF ADDRESS WITHIN 30 DAYS,failure licensee notify administration change address within 30 days
DRIVING WHILE IMPAIRED BY ALCOHOL,driving impaired alcohol
EXCEEDING POSTED MAXIMUM SPEED LIMIT 34 MPH IN A POSTED 25 MPH ZONE,exceeding posted maximum speed limit 34 mph posted 25 mph zone
DISPLAYING EXPIRED REGISTRATION PLATE ISSUED BY ANY STATE,displaying expired registration plate issued state
OPERATOR NOT RESTRAINED BY SEATBELT,operator restrained seatbelt
FAILURE TO STOP FOR STOPPED SCHOOL VEH OPERATING ALTERNATELY FLASHING RED LIGHTS,failure stop stopped school veh operating alternately flashing red lights
