belts,personal_injury,property_damage,commercial_license,commercial_vehicle,vehicle_type,year,make,model,color,charge,contributed_to_accident,gender,driver_state,dL_state,arrest_type,violation_type
No,No,No,No,No,05 - Light Duty Truck,2005.0,DODGE,DAKOTA,GRAY,224123b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2015.0,FORD,FOCUS,WHITE,218011,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2016.0,MERCEDESBENZ,C300,BLUE,218011,No,M,VA,VA,Q - Marked Laser,Citation
No,No,No,No,No,05 - Light Duty Truck,2003.0,HOND,TK,BLACK,218011,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2012.0,TOYOTA,VAN,GRAY,20103b,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2012.0,VOLKSWAGON,4S,WHITE,21201a1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2003.0,DODGE,RAM,BLACK,13409b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,05 - Light Duty Truck,1997.0,TOYT,RAV4,WHITE,13411a,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2015.0,TOYOTA,CAMRY,WHITE,21202e,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2010.0,GMC,JEEP,SILVER,21902a2,No,F,MD,MD,A - Marked Patrol,Citation
Yes,No,No,No,No,02 - Automobile,2009.0,TOYOTA,COROLLA,RED,13401h,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,1996.0,NISSAN,SENTRA,TAN,21201a1,No,M,MD,XX,A - Marked Patrol,Citation
No,No,Yes,No,No,02 - Automobile,2011.0,HOND,PILOT,WHITE,20103a,Yes,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2013.0,DODG,AVENGER,SILVER,13411f,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2014.0,TOYOTA,COROLLA,SILVER,218011,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2010.0,FORD,FOCUS,RED,219011b,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2003.0,LINCOLN,4S,SILVER,21902a1i,No,M,MD,MD,A - Marked Patrol,Citation
Yes,No,No,No,No,02 - Automobile,2000.0,NISS,4S,SILVER,13411d,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2014.0,INFINITI,QX80,BLACK,2111242d2,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2005.0,CHEV,SILVERADO,WHITE,16303c,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,05 - Light Duty Truck,2012.0,TOYOTA,LE,WHITE,26102b,No,M,MD,DC,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2011.0,HONDA,CIVIC 4D,WHITE,16303c,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2002.0,HONDA,ACCORD,BLUE,16101a,No,F,MD,CA,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,1999.0,MMERCEDES,C230,BEIGE,219011b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2009.0,TOYOTA,COROLLA,SILVER,17107,No,F,NC,NC,A - Marked Patrol,Citation
Yes,No,No,No,No,02 - Automobile,1999.0,OLDSMOBILE,CUTLASS,GRAY,16303h,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2001.0,FORD,EXPLORER,GREEN DK,218011,No,F,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2004.0,CHRYSLER,SEBRING CONV,BLACK,16101a,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2000.0,ACURA,2S,GREEN,16303c,No,M,VA,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2002.0,FORD,F250,BLACK,13401i,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2004.0,INFINITI,4D,BLACK,21310a,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2006.0,SCIO,XA,BLACK,21601a,No,F,MD,MD,B - Unmarked Patrol,Citation
No,No,No,No,No,02 - Automobile,2010.0,TOYOTA,COROLLA,GRAY,21201a1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,Yes,No,02 - Automobile,2001.0,NISSAN,ALTIMA,WHITE,22209b,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2012.0,MAZDA,3,BLUE,13401b1,No,M,NJ,NJ,A - Marked Patrol,Citation
No,No,No,No,No,03 - Station Wagon,1998.0,HOND,4S,GREEN DK,16105b1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2001.0,BUICK,4S,BLUE LIGHT,218011,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,Yes,No,02 - Automobile,2007.0,JEEP,SUV,BLACK,16101a,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2005.0,ACURA,INTEGRA,BLACK,13409b,No,M,MD,MD,A - Marked Patrol,Citation
Yes,No,No,No,No,02 - Automobile,2008.0,FORD,VIC,BLUE LIGHT,21309b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,Yes,No,No,02 - Automobile,2004.0,MERCURY,SABLE,GRAY,20105a,Yes,M,DC,DC,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2003.0,LEXS,4S,BLACK,16101a,No,M,MD,MD,A - Marked Patrol,Citation
No,Yes,No,No,No,02 - Automobile,2001.0,LINC,CONTINENTAL,BLACK,16113j,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2004.0,VOLKS,4DOOR,BLACK,16112c,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2010.0,FORD,MUSTANG,BLUE,16101a,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2013.0,KIA,4S,RED,13409b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2007.0,HONDA,ACCORD,GRAY,16113h,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1999.0,DODG,CARAVAN,RED,16112c,No,M,MD,MD,A - Marked Patrol,Citation
No,No,Yes,No,No,02 - Automobile,2005.0,TOYOT,SCION,GRAY,16301j,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1998.0,FORD,EXPEDITION,RED,13401h,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2014.0,FORD,FUSION,GRAY,21502a2,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2011.0,TOYOTA,CAMRY,WHITE,16303c,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2008.0,BMW,328,BLACK,21902a1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1999.0,HOND,4S,BLACK,21204b,No,M,MD,XX,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2010.0,ACURA,TSX,WHITE,218011,No,F,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2009.0,TOYOTA,4S,RED,218011,No,F,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,1998.0,HOND,4S,SILVER,218011,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,05 - Light Duty Truck,2001.0,JEEP,TK,BLACK,218011,No,M,MD,MD,Q - Marked Laser,Citation
No,No,Yes,No,No,02 - Automobile,2000.0,SUBARU,OUTBACK,MAROON,21902a2,No,M,MD,MD,A - Marked Patrol,Citation
Yes,No,No,No,No,03 - Station Wagon,2008.0,TOYOTA,4RUNNER,BLACK,218011,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2007.0,FORD,FUSION,BLACK,16303h,No,F,MD,MD,B - Unmarked Patrol,Citation
No,No,No,No,No,02 - Automobile,2003.0,TOYOTA,CAMRY,WHITE,16303c,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2003.0,VOLKSWAGEN,JETTA,BLUE,21201a1,No,M,VA,VA,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1993.0,BMW,4S,SILVER,218011,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2016.0,FORD,FUSION,GRAY,16112c,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2003.0,NISSAN,2D,BLACK,21204b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2000.0,BMW,323I,BLACK,16303c,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2000.0,DODG,VAN,BLUE,16112c,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2003.0,HONDA,CIVIC,SILVER,21902a2,No,M,MD,AZ,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2005.0,HYUNDAI,TIBURON,SILVER,219011b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2005.0,CHRYSLER,PACIFICA,GREEN,13401i,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2009.0,AUDI,A4,RED,13409b,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2007.0,HONDA,CRV,BLACK,21202m,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2008.0,DODGE,4D,SILVER,16303h,No,M,MD,MD,A - Marked Patrol,Citation
No,No,Yes,No,No,02 - Automobile,1997.0,HONDA,ACCORD,GREEN,21310a,No,M,MD,MD,A - Marked Patrol,Citation
No,Yes,No,No,No,02 - Automobile,1993.0,TOYOTA,COROLLA,BLUE,219011b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2017.0,MINI,COUNTRYMAN,ORANGE,2111242d2,No,M,MD,MD,B - Unmarked Patrol,Citation
No,No,No,No,No,02 - Automobile,2002.0,VOLVO,4 DOOR,BLACK,218011,No,F,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,1997.0,HONDA,ODYSSEY,WHITE,21902b1,No,M,MD,MD,A - Marked Patrol,Citation
Yes,No,No,No,No,02 - Automobile,2008.0,TOYOTA,COROLLA,GRAY,21201a1,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,05 - Light Duty Truck,1998.0,GMC,SONOMA,RED,218011,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,1998.0,TOYOTA,CAMRY,WHITE,16303c,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2010.0,HYUN,2S,RED,21502a2,No,M,VA,VA,A - Marked Patrol,Citation
Yes,No,No,No,No,02 - Automobile,2007.0,VOLKSWAGEN,RABBIT,SILVER,21902b1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2004.0,FORD,EXPLORE,RED,21902b1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2010.0,HONDA,4S,SILVER,13411f,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,05 - Light Duty Truck,2018.0,TOYT,RAV4,WHITE,2111241b,No,F,MD,MD,L - Motorcycle,Citation
No,No,No,No,No,02 - Automobile,2001.0,PONTIAC,2DR,BLACK,16115f,No,M,MD,MD,A - Marked Patrol,Citation
Yes,No,No,No,No,02 - Automobile,2014.0,HYUNDAI,VELESTER,GRAY,21314b,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2002.0,CHRYSLER,CARAVAN,GREEN LGT,224122d,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2011.0,HONDA,PILOT,GRAY,16303d,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2005.0,MAZDA,RX8,BLUE,21201a1,No,M,DC,DC,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1995.0,TOYT,AVALON,GREEN LGT,16303h,No,M,MD,MD,A - Marked Patrol,Citation
Yes,No,No,No,No,02 - Automobile,2003.0,ACURA,2S,RED,21902a2,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,Yes,No,02 - Automobile,2014.0,PRIUS,TAXI,GRAY,21201a1,No,M,VA,VA,A - Marked Patrol,Citation
No,Yes,No,No,No,02 - Automobile,2003.0,TOYOTA,4S,WHITE,21801a,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2013.0,ACUR,TSX,RED,16112c,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,03 - Station Wagon,2003.0,VOLKSWAGON,PASSAT,SILVER,21401,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2003.0,TOYOTA,CAMRY,GRAY,16303c,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2006.0,BMW,4S,BLACK,21201a1,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2002.0,JEEP,TK,BLUE,21707a,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2003.0,FORD,ESCAPE,RED,21801b,No,M,MI,MI,A - Marked Patrol,Citation
No,No,No,Yes,No,02 - Automobile,2002.0,HONDA,CIVIC,BLACK,224123c3,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,05 - Light Duty Truck,2005.0,TOYOTA,TACOMA,MAROON,16101a,No,M,MD,MD,B - Unmarked Patrol,Citation
No,No,No,No,No,02 - Automobile,2016.0,TOYOTA,HIGHLANDER,GRAY,21902b1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2001.0,TOYOTA,COROLLA,WHITE,21902b1i,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2001.0,TOYOTA,COROLLA,BLUE,16112c,No,F,MD,MD,L - Motorcycle,Citation
No,No,No,No,No,02 - Automobile,2005.0,BMW,525I,BLACK,218011,No,M,MD,MD,G - Marked Moving Radar (Stationary),Citation
No,No,No,No,No,02 - Automobile,2010.0,MAZD,6,SILVER,21902b1i,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,Yes,No,02 - Automobile,2014.0,KIA,OPTIMA,SILVER,16101a,No,F,MD,NC,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2011.0,TOYOTA,SIENNA,BEIGE,16116a,No,F,MD,TX,A - Marked Patrol,Citation
No,No,No,No,No,05 - Light Duty Truck,2001.0,LEXU,TK,BLACK,224123b,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2002.0,FORD,EXPL,BLUE,13409b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,Yes,No,No,02 - Automobile,2002.0,HONDA,ACCORD,MAROON,16101a1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2004.0,CADILLAC,DEVILLE,GRAY,13409b,No,M,DC,ID,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2005.0,SUBA,OUTBACK,BLUE,21201a1,No,F,MD,MD,B - Unmarked Patrol,Citation
No,No,No,No,No,02 - Automobile,2002.0,TOYOTA,CAMRY,BLUE,13401h,No,F,MD,MD,S - License Plate Recognition,Citation
No,Yes,No,No,No,02 - Automobile,2012.0,HONDA,CIVIC,GRAY,21801b,Yes,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2003.0,VOLV,XC70,GREEN,13708a,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2016.0,TOYOTA,COROLLA,BLACK,218011,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2002.0,LEXU,ES300,SILVER,21902a2,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2005.0,BMW,530I,SILVER,16303h,No,M,DC,DC,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2011.0,ACUR,TK,GRAY,21707a,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2007.0,FORD,EXPLORER,WHITE,16303h,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,Yes,No,05 - Light Duty Truck,2002.0,FORD,PU TK,GRAY,13411a,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2013.0,HYUN,4S,BLACK,16303c,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2005.0,CHEV,MALIBU,BLUE,13411f,No,M,MD,VA,A - Marked Patrol,Citation
No,No,No,No,No,05 - Light Duty Truck,2010.0,JEEP,TK,MAROON,218011,No,M,MD,MD,Q - Marked Laser,Citation
No,No,No,No,No,02 - Automobile,2008.0,BMW,328,BLUE,13411f,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,0.0,TOYOTA,TUNDRA,SILVER,13703g,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2003.0,FORD,150,GREEN,16112c,No,F,MD,MD,S - License Plate Recognition,Citation
No,No,No,No,No,02 - Automobile,1996.0,TOYOTA,CAMRY,BLUE,16101a,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2013.0,JEEP,WRANGLER,BLACK,21707a,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2013.0,AUDI,A4,WHITE,218011,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2003.0,MERZ,TK,BLACK,2111242d2,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2016.0,FORD,MUSTANG,RED,21902a1i,No,F,MD,MA,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2009.0,BMW,535I,GRAY,16303h,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2007.0,BMW,750LI,WHITE,13703g,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2012.0,HYUNDAI,ELANTRA,SILVER,13409b,No,F,MD,MD,A - Marked Patrol,Citation
No,No,Yes,No,No,02 - Automobile,2009.0,CHEV,TK,WHITE,20103a,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2011.0,LEXSUS,ES350,GRAY,21502a2,No,M,GA,GA,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2002.0,FORD,CP,GRAY,224123b,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2016.0,HONDA,CRV,BLACK,218011,No,M,MD,MD,H - Unmarked Moving Radar (Stationary),Citation
No,No,No,No,No,02 - Automobile,2010.0,FORD,VAN,WHITE,21902a2,No,M,MD,MD,B - Unmarked Patrol,Citation
No,No,No,No,No,02 - Automobile,1997.0,TOYOTA,4RUNNER,GREEN,16303h,No,M,MD,MD,A - Marked Patrol,Citation
Yes,No,No,No,No,05 - Light Duty Truck,2007.0,CHEVROLET,EXPRESS,WHITE,21402a,Yes,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1997.0,HONDA,CIVIC,BLACK,21902b1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2001.0,MERZD,E320,BLACK,2111242d2,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2012.0,NISSAN,ALTIMA,WHITE,16101a,No,M,MD,MD,A - Marked Patrol,Citation
Yes,No,No,No,No,02 - Automobile,2010.0,NISSAN,ALTIMA,GRAY,21902a1,No,F,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2003.0,TOYOTA,4RUNNER,WHITE,21201a1,No,F,MD,MD,A - Marked Patrol,Citation
No,No,Yes,No,No,02 - Automobile,2001.0,VOLVO,S60,GRAY,16303h,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2006.0,NISSAN,PATHFINDER,BLACK,2111241b,No,F,MD,MD,B - Unmarked Patrol,Citation
No,No,No,No,No,02 - Automobile,2005.0,FORD,MUSTANG,BLACK,16105b1,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2000.0,ACURA,TL,BLUE DARK,16303c,No,F,MD,MD,A - Marked Patrol,Citation
Yes,No,No,No,No,02 - Automobile,2015.0,FORD,VN,WHITE,218011,No,M,WV,WV,G - Marked Moving Radar (Stationary),Citation
No,No,No,Yes,No,05 - Light Duty Truck,2006.0,FORD,E350,TAN,16303f,No,M,VA,VA,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2004.0,MAZDA,2 DOOR,RED,218011,No,F,VA,VA,Q - Marked Laser,Citation
No,No,No,Yes,No,02 - Automobile,1995.0,CADI,2S,GREEN DK,13411f,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,2007.0,FORD,EXPEDITION,BLACK,219012,No,M,MD,MD,A - Marked Patrol,Citation
No,No,No,No,No,02 - Automobile,1998.0,TOYOTA,COROLLA,GREEN,16303f,No,M,DC,DC,A - Marked Patrol,Citation
