unique_code,keywords,category,belts,personal_injury,property_damage,commercial_license,commercial_vehicle,vehicle_type,year,make,model,color,charge,contributed_to_accident,gender,driver_state,dL_state,arrest_type,violation_type
Code_25487,driving impaired alcohol,driving alcohol,No,No,Yes,No,No,02 - Automobile,2015,ACURA,MDX,SILVER,21902b1,Yes,M,MD,MD,A - Marked Patrol,0
Code_31076,driver failure stop steady circular red signal,stop lights,No,No,No,No,No,02 - Automobile,1998,VOLKSWAGEN,JETTA,BLUE,21202h1,No,M,PA,PA,B - Unmarked Patrol,0
Code_18959,driving vehicle influence alcohol,driving alcohol,No,No,No,No,No,02 - Automobile,1999,VOLK,4DR,SILVER,21902a1,No,M,MD,MD,A - Marked Patrol,0
Code_19880,driving veh excess reasonable prudent speed hwy,exceeding speed,No,No,No,No,No,02 - Automobile,2013,MERCEDEZ,E550,BLACK,21801a,No,M,MD,MD,A - Marked Patrol,0
Code_19118,rt turn improper road position,careless driving,No,No,No,No,No,02 - Automobile,1992,TOYOTA,PICK UP,BLACK,21601a,No,M,CA,CA,A - Marked Patrol,0
Code_3709,failing display proper vehicle id,tag problem,No,No,No,No,No,05 - Light Duty Truck,1993,FORD,F350,WHITE,1139021,No,M,MD,MD,A - Marked Patrol,0
Code_21269,driver turning left fail yield right way vehicle approaching opposite direction,careless driving,No,No,Yes,No,No,02 - Automobile,2007,MINI,COOPER,GOLD,21402a,No,F,MD,MD,A - Marked Patrol,0
Code_14178,person driving motor vehicle license suspended 17106 26204 26206 27103,license problem,No,No,No,No,No,02 - Automobile,2011,TOYOTA,CAMRY,GOLD,16303h,No,M,DC,DC,A - Marked Patrol,0
Code_7253,driving motor veh lic suspended 27103,license problem,No,No,No,No,No,28 - Other,2000,FORD,SUV,GREEN,16303h,No,M,SC,SC,Q - Marked Laser,0
Code_1330,driving unsafe veh hwy,window,No,No,No,No,No,02 - Automobile,2011,SUZUKI,GRAND VITARA,BLUE,22101a,No,F,MD,MD,A - Marked Patrol,0
Code_14512,failure attach vehicle registration plates front rear,tag problem,No,No,No,No,No,02 - Automobile,2012,LEXS,4D,BLACK,13411a,No,M,MD,MD,A - Marked Patrol,0
Code_7897,failure display registration card upon demand police officer,failure registration card,No,No,No,No,No,02 - Automobile,2008,DODGE,MAGNUM,BLACK,13409b,No,M,MD,MD,A - Marked Patrol,0
Code_17206,failure licensee notify administration change address within 30 days,administration problem,No,No,No,No,No,02 - Automobile,2002,TOYOTA,CAMRY,SILVER,16116a,No,M,MD,MD,A - Marked Patrol,0
Code_15495,driver failure stop stop sign line,sign violation,No,No,No,No,No,02 - Automobile,2015,INFI,QX60,BLACK,21707a,No,M,MD,MD,A - Marked Patrol,0
Code_30242,failure display registration card upon demand police officer,failure registration card,No,No,No,No,No,02 - Automobile,2013,KIA,OPTIMA,SILVER,13409b,No,F,MD,MD,A - Marked Patrol,0
Code_14913,driving veh far impaired alcohol drive safely,driving alcohol,No,No,No,No,No,02 - Automobile,1999,CHEVY,MALIBU,GREEN,21902c1,No,M,VA,VA,A - Marked Patrol,0
Code_14754,driver failure obey properly placed traffic control device instructions,failure device instructions,No,No,No,No,No,05 - Light Duty Truck,2002,TOYOTA,VAN,GOLD,21201a1,No,F,MD,MD,A - Marked Patrol,0
Code_14635,exceeding maximum speed 44 mph posted 35 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2005,MERZ,S430,SILVER,218011,No,M,MD,MD,I - Marked Moving Radar (Moving),0
Code_8560,exceeding maximum speed 44 mph posted 35 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2005,NISSAN,MAXIMA,SILVER,218011,No,M,MD,MD,Q - Marked Laser,0
Code_24237,failure dr make lane change avail lane immed adj stopped emerg veh,careless driving,No,No,No,No,No,02 - Automobile,2008,LEXUS,ES350,WHITE,21405e1,No,F,MD,MD,A - Marked Patrol,0
Code_26138,exceeding maximum speed 39 mph posted 30 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2014,FORD,4S,SILVER,218011,No,M,MD,MD,Q - Marked Laser,0
Code_11235,driver fail make required stop sign,sign violation,No,No,No,No,No,02 - Automobile,2008,HONDA,ACCORD,WHITE,21202m,No,F,MD,MD,A - Marked Patrol,0
Code_30099,person driving motor vehicle highway public use property suspended license privilege,license problem,No,No,No,No,No,01 - Motorcycle,1996,LEXUS,4D,SILVER,16303c,No,M,DC,DC,A - Marked Patrol,0
Code_23163,driving vehicle influence alcohol,driving alcohol,No,No,No,No,No,02 - Automobile,2016,HONDA,CIVIC,GRAY,21902a1i,No,F,MD,MD,A - Marked Patrol,0
Code_4161,displaying expired registration plate issued state,tag problem,No,No,No,No,No,02 - Automobile,2012,DODGE,2DR,SILVER,13411f,No,M,MD,IL,A - Marked Patrol,0
Code_23523,driver motor vehicle following vehicle closer reasonable prudent,careless driving,No,No,No,No,No,02 - Automobile,1998,MITS,TK,WHITE,21310a,Yes,M,MD,MD,A - Marked Patrol,0
Code_17976,aggressive driving,careless driving,No,No,No,No,No,05 - Light Duty Truck,2005,TOYT,TACOMA,BLUE,219012,No,M,MD,MD,A - Marked Patrol,0
Code_26211,person driving motor vehicle license suspended tr 17106 26204 26206 27103,license problem,No,No,No,No,No,02 - Automobile,2004,HONDA,ACCORD,GOLD,16303h,No,M,MD,MD,A - Marked Patrol,0
Code_28621,failure control vehicle speed highway avoid collision,other,No,No,Yes,No,No,02 - Automobile,2016,CHEV,SUBURBAN,WHITE,21801b,No,F,MD,MD,A - Marked Patrol,0
Code_4239,exceeding posted maximum speed limit 67 mph posted 45 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2005,CHEV,TK,BLUE DARK,218011,No,M,MD,MD,A - Marked Patrol,0
Code_5183,stopping veh crosswalk,sign violation,No,No,No,No,No,02 - Automobile,2012,HONDA,ACCORD,SILVER,211003e,No,F,MD,VA,B - Unmarked Patrol,0
Code_29655,driving commercial motor veh wo commercial drivers license possession,license problem,No,No,No,No,No,20 - Commercial Rig,2006,GMC,TRUCK,ORANGE,16808c,No,M,MD,MD,A - Marked Patrol,0
Code_30528,driving vehicle highway without current registration plates validation tabs,tag problem,No,No,No,No,No,02 - Automobile,2010,NISSAN,ALTIMA,BLACK,13411d,No,M,MD,MD,Q - Marked Laser,0
Code_5315,driving vehicle influence alcohol,driving alcohol,No,No,No,Yes,No,02 - Automobile,2012,VW,JETTA,BLACK,21902a1,No,M,VA,VA,A - Marked Patrol,0
Code_28846,failure control veh speed hwy avoid collision,other,No,No,No,No,No,02 - Automobile,2012,TOYOTA,CAMRY,RED,21801b,Yes,M,MD,MD,A - Marked Patrol,0
Code_23530,driving motor vehicle highway without required license authorization,license problem,No,No,No,No,No,02 - Automobile,2000,CADILLAC,4S,GRAY,16101a,No,M,MD,MD,B - Unmarked Patrol,0
Code_13013,driving motor vehicle highway without required license authorization,license problem,No,No,No,No,No,02 - Automobile,2000,TOYOTA,4RUNNER,SILVER,16101a,No,M,MD,MD,A - Marked Patrol,0
Code_15562,failure dr make lane change avail lane immed adj stopped emer,careless driving,No,No,No,No,No,02 - Automobile,2011,GMC,VAN,WHITE,21405e1,No,M,MD,MD,A - Marked Patrol,0
Code_16352,operator restrained seatbelt,belts,No,No,No,No,No,02 - Automobile,2007,MITSUH,ECLIPSE,MAROON,224123b,No,F,MD,MD,F - Unmarked Stationary Radar,0
Code_4540,driving vehicle influence alcohol per se,driving alcohol,No,No,No,No,No,02 - Automobile,2013,SUBA,BRZ COUPE,BLACK,21902a1ii,No,F,MD,MD,A - Marked Patrol,0
Code_8060,knowingly driving uninsured vehicle,registration problems,No,No,No,No,No,01 - Motorcycle,2015,SSR,DIRTBIKESR125,WHITE,17107,No,F,MD,MD,A - Marked Patrol,0
Code_15167,driver failure obey properly placed traffic control device instructions,failure device instructions,No,No,No,No,No,02 - Automobile,2007,BMW,530 XI,SILVER,21201a1,No,M,MD,MD,A - Marked Patrol,0
Code_13746,display suspended lic,license problem,No,No,No,No,No,02 - Automobile,2014,FORD,EDGE,BLACK,16301e,No,F,MD,MD,A - Marked Patrol,0
Code_27121,failure control vehicle speed highway avoid collision,other,No,No,No,No,No,02 - Automobile,1998,TOYT,4DR,TAN,21801b,Yes,M,MD,MD,A - Marked Patrol,0
Code_13998,person driving motor vehicle license suspended 17106 26204 26206 27103,license problem,No,No,No,No,No,02 - Automobile,2001,FORD,EXPEDITION,BLACK,16303h,No,M,MD,MD,A - Marked Patrol,0
Code_24522,driver using hands use handheld telephone whilemotor vehicle motion,careless driving,No,No,No,No,No,02 - Automobile,2014,TOYOTA,PRIUS,SILVER,2111242d2,No,F,MD,MD,A - Marked Patrol,0
Code_30296,person driving motor vehicle highway public use property suspended license privilege,license problem,No,No,No,No,No,02 - Automobile,2008,GMC,ACADIA,BLACK,16303c,No,M,MD,MD,A - Marked Patrol,0
Code_7035,driving wo current tags,tag problem,No,No,No,No,No,02 - Automobile,2009,SUB,FORSTER,BLUE,13411d,No,M,MD,MD,A - Marked Patrol,0
Code_5303,exceeding maximum speed 39 mph posted 30 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2014,MERCEDES,SUV,BLACK,218011,No,M,MD,MD,E - Marked Stationary Radar,0
Code_10160,driving vehicle influence alcohol,driving alcohol,No,No,No,No,No,02 - Automobile,2007,CHEV,SILVERADO,WHITE,21902a1,No,M,MD,MD,A - Marked Patrol,0
Code_9038,driver turning left fail yield right way vehicle approaching opposite direction,careless driving,No,No,No,No,No,03 - Station Wagon,2006,HOND,ODESSEY,SILVER,21402a,No,F,MD,MD,A - Marked Patrol,0
Code_1491,driver failure obey properly placed traffic control device instructions,failure device instructions,No,No,No,No,No,02 - Automobile,2009,HONDA,ACCORD,SILVER,21201a1,No,F,MD,MD,A - Marked Patrol,0
Code_20988,driver failure stop steady circular red signal,stop lights,No,No,No,No,No,02 - Automobile,2004,VOLKSWAGON,JETTA,SILVER,21202h1,Yes,M,MD,MD,A - Marked Patrol,0
Code_14720,driving vehicle influence alcohol,driving alcohol,No,No,No,No,No,02 - Automobile,2008,TOYTOA,YARIS,WHITE,21902a1,No,M,MD,MD,A - Marked Patrol,0
Code_11536,driving impaired alcohol,driving alcohol,No,No,No,No,No,02 - Automobile,2007,NISS,ALTIMA,GRAY,21902b1,No,F,MD,MD,A - Marked Patrol,0
Code_13202,exceeding maximum speed 80 mph posted 55 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2001,TOYT,4S,GREEN,218011,No,M,MD,MD,A - Marked Patrol,0
Code_30725,driving vehicle influence alcohol,driving alcohol,No,No,No,No,No,02 - Automobile,2002,TOYOTA,SIENA,BLUE,21902a1,No,M,MD,MD,A - Marked Patrol,0
Code_28321,driving vehicle violation restricted license requirement,license problem,No,No,No,No,No,02 - Automobile,2002,BMW,325I,WHITE,16113h,No,F,MD,MD,A - Marked Patrol,0
Code_21150,exceeding maximum speed 38 mph posted 25 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2009,NISSAN,ROGUE,SILVER,218011,No,M,MD,MD,Q - Marked Laser,0
Code_5847,driver failure obey properly placed traffic control device instructions,failure device instructions,No,No,No,No,No,02 - Automobile,2011,HOND,ACCORD,SILVER,21201a1,No,F,MD,MD,A - Marked Patrol,0
Code_14020,holder learners permit driving wo req supervision,other,No,No,No,No,No,02 - Automobile,2002,BUICK,4S CENTURY,WHITE,16105b1,No,M,MD,MD,Q - Marked Laser,0
Code_27327,willfully disobeying lawful order direction police officer,other,No,No,No,No,No,02 - Automobile,2011,TOYTA,CAMRY,SILVER,21103a,No,M,MD,MD,A - Marked Patrol,0
Code_29533,driver motor vehicle following vehicle closer reasonable prudent,careless driving,No,No,No,No,No,02 - Automobile,1998,HOND,4S,WHITE,21310a,Yes,M,MD,MD,A - Marked Patrol,0
Code_22237,negligent driving vehicle careless imprudent manner endangering property life person,careless driving,No,No,Yes,No,No,02 - Automobile,2006,HONDA,ACCORD,BLACK,219011b,No,F,MD,MD,A - Marked Patrol,0
Code_22883,driver failure obey properly placed traffic control device instructions,failure device instructions,No,No,No,No,No,02 - Automobile,2015,SUBARU,IMPREZA,GRAY,21201a1,No,F,MD,MD,A - Marked Patrol,0
Code_14528,failure display registration card upon demand police officer,failure registration card,No,No,No,No,No,02 - Automobile,2001,CHEVROLET,SUBURBAN,TAN,13409b,No,M,MD,MD,A - Marked Patrol,0
Code_28294,driver changing lanes unsafe,careless driving,No,No,No,No,No,02 - Automobile,1992,HONDA,2H,BLUE DARK,21309b,No,M,MD,MD,A - Marked Patrol,0
Code_8740,permitting veh driven hwy wo current registration validation tabs issued adm,tag problem,No,No,No,No,No,02 - Automobile,2005,TOYOTA,VAN,BLUE,13411e,No,F,MD,MD,A - Marked Patrol,0
Code_13645,driver failure obey properly placed traffic control device instructions,failure device instructions,Yes,No,No,No,No,05 - Light Duty Truck,2003,CHEVROLET,TRUCK,RED,21201a1,No,M,MD,MD,A - Marked Patrol,0
Code_24729,driver fail stop steady circular red signal steady red arrow signal,stop lights,No,No,No,No,No,02 - Automobile,2003,NISSAN,SENTRA,BLUE,21202h,No,M,MD,MD,A - Marked Patrol,0
Code_22224,person driving motor vehicle highway public use property suspended license privilege,license problem,No,No,No,No,No,02 - Automobile,2004,HYUN,4S,RED,16303c,No,F,MD,MD,A - Marked Patrol,0
Code_10951,negligent driving vehicle careless imprudent manner endangering property life person,careless driving,Yes,Yes,No,No,No,28 - Other,2013,BMW,X3,WHITE,219011b,No,F,MD,MD,A - Marked Patrol,0
Code_24658,person driving motor vehicle license suspended 17106 26204 26206 27103,license problem,No,No,No,No,No,02 - Automobile,2011,TOYOTA,HIGHLANDER,GREEN LGT,16303h,No,M,MD,MD,E - Marked Stationary Radar,0
Code_15216,person driving motor vehicle highway public use property suspended outofstate license,license problem,No,No,No,No,No,02 - Automobile,2001,TOYOTA,COROLLA,WHITE,16303f,No,M,MD,MD,A - Marked Patrol,0
Code_5492,driving attempting drive motor vehicle highway without required license authorization,license problem,No,No,No,No,No,02 - Automobile,1998,ACURA,4DR,SILVER,16101a,No,M,MD,MD,O - Foot Patrol,0
Code_15694,holder learners permit driving wo req supervision,other,No,No,No,Yes,No,02 - Automobile,1999,MITS,MIRAGE,GOLD,16105b1,No,M,MD,MD,A - Marked Patrol,0
Code_22436,driver failure obey designated lane directions,sign violation,No,No,No,No,No,02 - Automobile,2010,TOYOTA,YARIS,BLACK,21309d,No,M,DC,DC,A - Marked Patrol,0
Code_6950,driving vehicle influence alcohol,driving alcohol,No,No,No,No,No,02 - Automobile,2003,TOYOTA,4RUNNER,WHITE,21902a1,No,F,MD,MD,A - Marked Patrol,0
Code_4299,failure control vehicle speed highway avoid collision,other,No,No,Yes,No,No,02 - Automobile,2002,NISSAN,4DR MAXIMA,WHITE,21801b,No,M,MD,MD,A - Marked Patrol,0
Code_8037,exceeding posted maximum speed limit 49 mph posted 40 mph zone,exceeding speed,No,No,No,No,No,03 - Station Wagon,2006,ACURA,MDX,RED,218011,No,F,MD,MD,Q - Marked Laser,0
Code_23472,person driving motor vehicle highway public use property suspended license privilege,license problem,No,No,No,No,No,02 - Automobile,2005,TOYOTA,MATRIX,WHITE,16303c,No,M,MD,MD,A - Marked Patrol,0
Code_26017,driver writingsendingreading textelectronic msg oper veh travel portion hwy,careless driving,No,No,No,No,No,02 - Automobile,2004,TOYT,MATRIX,BLACK,2111241b,No,F,MD,MD,A - Marked Patrol,0
Code_18253,attempt driver elude police official police veh fleeing foot,other,No,No,No,No,No,01 - Motorcycle,2003,SUZU,GSX R,BLUE,21904c2,No,M,MD,MD,A - Marked Patrol,0
Code_6665,person driving motor vehicle highway public use property suspended license privilege,license problem,No,No,No,No,No,02 - Automobile,2002,JEEP,GRAND CHEROKEE,BLACK,16303c,No,M,MD,MD,B - Unmarked Patrol,0
Code_13057,failure display registration card upon demand police officer,failure registration card,No,No,No,No,No,02 - Automobile,2004,HONDA,CIVIC,SILVER,13409b,No,M,MD,MD,A - Marked Patrol,0
Code_31937,driving vehicle influence alcohol per se,driving alcohol,No,No,No,No,No,02 - Automobile,2007,NISSAN,4S,SILVER,21902a1ii,No,F,MD,DC,A - Marked Patrol,0
Code_21672,exceeding maximum speed 39 mph posted 30 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2001,TOYT,COR 4D,BLUE,218011,No,F,MD,MD,R - Unmarked Laser,0
Code_22884,driver failure stop steady circular red signal,stop lights,No,No,No,No,No,02 - Automobile,2002,HOND,4DR,SILVER,21202h1,No,F,MD,MD,A - Marked Patrol,0
Code_1970,driver failure obey properly placed traffic control device instructions,failure device instructions,No,No,No,No,No,02 - Automobile,2006,HONDA,ODYSSEY,GRAY,21201a1,No,F,MD,MD,A - Marked Patrol,0
Code_9102,failure attach vehicle registration plates front rear,tag problem,No,No,Yes,No,No,01 - Motorcycle,2005,SUZUKI,GSXR600,RED,13411a,No,M,MD,MD,A - Marked Patrol,0
Code_25047,operating vehicle highway unauthorized window tinting material,window,No,No,No,No,No,02 - Automobile,1998,HONDA,CIVIC,GREEN,22406i1,No,M,MD,MD,A - Marked Patrol,0
Code_22900,exceeding maximum speed 54 mph posted 45 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2013,HYUNDAI,TUCSON,BLACK,218011,No,F,MD,MD,Q - Marked Laser,0
Code_10862,failure attach vehicle registration plates front rear,tag problem,No,No,No,No,No,02 - Automobile,2011,TOYO,CAMRY,SILVER,13411a,No,F,MD,MD,B - Unmarked Patrol,0
Code_16701,exceeding maximum speed 39 mph posted 30 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2011,NISSAN,SUV,SILVER,218011,No,F,MD,MD,O - Foot Patrol,0
Code_10178,driving vehicle influence alcohol,driving alcohol,No,No,No,No,No,02 - Automobile,2004,MITS,TK,GRAY,21902a1,No,F,MD,MD,A - Marked Patrol,0
Code_4531,person driving motor vehicle license suspended tr 17106 26204 26206 27103,license problem,No,No,No,No,No,02 - Automobile,2008,TOYT,4S,GRAY,16303h,No,M,MD,MD,S - License Plate Recognition,0
Code_7869,driver failure stop stop sign line,sign violation,No,No,No,No,No,02 - Automobile,2002,NISS,4S,GOLD,21707a,No,M,MD,WA,A - Marked Patrol,0
Code_14586,exceeding maximum speed 39 mph posted 30 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2014,HONDA,CRV,SILVER,218011,No,F,MD,MD,Q - Marked Laser,0
Code_13750,exceeding maximum speed 55 mph posted 35 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2001,TOYT,4S,BLACK,218011,No,M,MD,MD,Q - Marked Laser,0
Code_15008,driver changing lanes unsafe,careless driving,No,No,No,No,No,02 - Automobile,2014,TOYOTA,COROLLA,BLACK,21309b,No,M,MD,MD,B - Unmarked Patrol,0
Code_10374,driver failure stop entering crossing hwy private road driveway,sign violation,No,No,No,No,No,02 - Automobile,2000,HONDA,ACCORD,GREEN,21404a,No,M,MD,MD,A - Marked Patrol,0
Code_17079,failure drive vehicle right half roadway required,careless driving,No,No,No,No,No,02 - Automobile,2008,CHEV,TK,WHITE,21301a,No,M,MD,MD,B - Unmarked Patrol,0
Code_19977,failure control vehicle speed highway avoid collision,other,No,Yes,No,No,No,02 - Automobile,2010,TOYOTA,RAV 4,BLACK,21801b,Yes,F,MD,MD,A - Marked Patrol,0
Code_23038,driving drive motor vehicle highway without required license authorization,license problem,No,No,No,No,No,02 - Automobile,2010,BMW,328I,WHITE,16101a1,No,M,MD,XX,A - Marked Patrol,0
Code_18555,failure licensee notify administration change address within 30 days,administration problem,No,No,No,No,No,02 - Automobile,2007,TOYOTA,CAMRY,BLUE DARK,16116a,No,M,MD,MD,A - Marked Patrol,0
Code_2908,displaying expired registration plate issued state,tag problem,No,No,No,No,No,02 - Automobile,2003,FORD,E150,WHITE,13411f,No,M,MD,MD,A - Marked Patrol,0
Code_24628,operator restrained seatbelt,belts,No,No,No,No,No,02 - Automobile,2007,BUICK,LUCERNE,WHITE,224123b,No,F,MD,MD,O - Foot Patrol,0
Code_19528,driver failure stop steady circular red signal,stop lights,Yes,No,No,No,No,02 - Automobile,2013,SUBARU,OUTBACK,BLUE LIGHT,21202h1,No,F,MD,MD,A - Marked Patrol,0
Code_19942,possessing suspended lic,license problem,No,No,No,No,No,02 - Automobile,2010,VOLKSWAGEN,ROUTAN,RED,16301j,No,M,MD,MD,A - Marked Patrol,0
Code_29762,failure maintain legible registration plate free covers,tag problem,No,No,No,No,No,02 - Automobile,2004,TOYT,COROLLA,BLACK,13411c1,No,M,MD,MD,A - Marked Patrol,0
Code_32097,driver using hands use handheld telephone whilemotor vehicle motion,careless driving,No,No,No,No,No,02 - Automobile,2003,FORD,RANGER,GRAY,2111242d2,No,M,MD,MD,A - Marked Patrol,0
Code_9176,exceeding maximum speed 80 mph posted 55 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2013,NISSAN,SENTRA,SILVER,218011,No,F,MD,MD,A - Marked Patrol,0
Code_1362,oper mv operator restrained seatbelt,belts,No,No,No,No,No,02 - Automobile,1990,HONDA,CIVIC HTBACK,BLUE LIGHT,224123b,No,M,MD,MD,A - Marked Patrol,0
Code_8255,failure display registration card upon demand police officer,failure registration card,No,No,No,No,No,02 - Automobile,2012,TOYOTA,CAMRY,WHITE,13409b,No,M,MD,DC,A - Marked Patrol,0
Code_14063,driver motor vehicle following vehicle closer reasonable prudent,careless driving,No,Yes,No,No,No,02 - Automobile,1999,TOYOTA,CAMRY,MAROON,21310a,No,F,DC,GA,A - Marked Patrol,0
Code_30142,knowingly driving uninsured vehicle,registration problems,No,No,No,No,No,02 - Automobile,1998,TOYOTA,COROLLA,GOLD,17107,No,M,MD,MD,A - Marked Patrol,0
Code_20339,display cause permit displayed suspended lic,license problem,No,No,No,No,No,02 - Automobile,1987,DODGE,4D,BLUE LIGHT,16301e,No,F,MD,MD,A - Marked Patrol,0
Code_28363,driving attempting drive motor vehicle highway without required license authorization,license problem,No,No,No,No,No,05 - Light Duty Truck,1998,JEEP,TK,GREEN,16101a,No,M,MD,MD,Q - Marked Laser,0
Code_31166,exceeding maximum speed 49 mph posted 40 mph zone,exceeding speed,No,No,No,No,No,02 - Automobile,2003,LINCOLN,TOWNCAR,YELLOW,218011,No,M,MD,MD,A - Marked Patrol,0
Code_30074,driver making improper turn intersection,careless driving,No,No,No,No,No,05 - Light Duty Truck,2002,FORD,EXPLORER,BLUE DARK,21604a,No,M,MD,MD,A - Marked Patrol,0
Code_11301,failure control veh speed hwy avoid collision,other,No,No,No,No,No,02 - Automobile,2011,FORD,ESCAPE,GRAY,21801b,No,F,MD,MD,A - Marked Patrol,0
Code_3765,driver failure obey properly placed traffic control device instructions,failure device instructions,No,No,No,No,No,02 - Automobile,2005,HOND,4S,SILVER,21201a1,No,M,MD,MD,A - Marked Patrol,0
