,0
74,DRIVING VEH ON HWY WITH UNPAID REGISTRATION FEE
75,DRIVING VEH IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HWY
76,EXCEEDING POSTED MAXIMUM SPEED LIMIT 45 MPH IN A POSTED 35 MPH ZONE
77,EXCEEDING POSTED MAXIMUM SPEED LIMIT 47 MPH IN A POSTED 35 MPH ZONE
78,FAILURE TO STOP AT STOP SIGN
79,EXCEEDING MAXIMUM SPEED 57 MPH IN A POSTED 40 MPH ZONE
80,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR 17106 26204 26206 27103
81,FAILURE TO ATTACH VEHICLE REGISTRATION PLATES AT FRONT AND REAR
82,FAILURE OF DRIVER TO SLOW TO A REASONABLE AND PRUDENT SPEED WHILE PASSING STOPPED EMERG VEH
83,FAILURE VEH TO YIELD INTERSECTION RIGHTOFWAY TO ANOTHER VEH
84,POSSESSING MORE THAN ONE DRIVERS LICENSE AT ANY ONE TIME
85,EXCEEDING MAXIMUM SPEED 41 MPH IN A POSTED 25 MPH ZONE
86,OPERATING VEH ON HWY WITH ALTERED DANGEROUS BUMPER OR SUSPENSION
87,WILLFULLY DRIVING MOTOR VEH AT SLOW SPEED IMPEDING NORMAL AND REASONABLE TRAFFIC MOVEMENT
88,EXCEEDING MAXIMUM SPEED 83 MPH IN A POSTED 55 MPH ZONE
89,EXCEEDING POSTED MAXIMUM SPEED LIMIT 44 MPH IN A POSTED 35 MPH ZONE
90,EXCEEDING MAXIMUM SPEED 45 MPH IN A POSTED 30 MPH ZONE
91,HOLDING ID CARD ISSUED UNDER THIS SEC WHILE HOLDING ANOTHER
92,DRIVER CONSUMING ALCOHOLIC BEVERAGE IN PASSENGER AREA OF MOTOR VEHICLE ON HIGHWAY
93,FAILURE TO CONTROL VEH SPEED ON HWY TO AVOID COLLISION
94,DRIVER FAILURE TO OBEY DESIGNATED LANE DIRECTIONS
95,UNAUTHORIZED DISPLAY AND USE OF REGISTRATION PLATE
96,EXCEEDING MAXIMUM SPEED 44 MPH IN A POSTED 25 MPH ZONE
97,EXCEEDING MAXIMUM SPEED 50 MPH IN A POSTED 40 MPH ZONE
98,FAILURE TO DRIVE VEHICLE ON RIGHT HALF OF ROADWAY WHEN REQUIRED
99,FAILURE TO KEEP REQUIRED MOTOR VEH RENTAL RECORDS
100,KNOWINGLY DRIVING UNINSURED VEHICLE
101,FAILURE OF MV OPER TO PRESENT EVIDENCE OF REQUIRED SECURITY ON REQUEST OF A LAW ENFORCEMENT OFFICER
102,DRIVING VEHICLE ON HIGHWAY WITHOUT CURRENT REGISTRATION PLATES AND VALIDATION TABS
103,EXCEEDING MAXIMUM SPEED 78 MPH IN A POSTED 55 MPH ZONE
104,DRIVING VEHICLE WHILE UNDER THE INFLUENCE OF ALCOHOL PER SE
105,DRIVING MOTOR VEHICLE OFF ROADWAY WHILE PASSING VEHICLE
106,DRIVING VEHICLE IN HOV LANE WHEN NOT AUTHORIZED BY TRAFFIC CONTROL DEVICE
107,FAILURE TO REMAIN STOPPED FOR STOPPED SCHOOL VEH OPERATING ALTERNATELY FLASHING RED LIGHTS
108,PASSENGER AGE 16 OR MORE IN REAR SEAT OF MOTOR VEH WITHOUT SEATBELT RESTRAINT
109,EXCEEDING MAXIMUM SPEED 84 MPH IN A POSTED 55 MPH ZONE
110,driving on susp reg
111,DRIVING A MOTOR VEH WITHOUT A VALID MEDICAL EXAMINERS CERTIFICATE IN POSSESSION
112,STANDING VEH ON CROSSWALK
113,FAILURE TO DISPLAY TAB ON PLATES OF VEH AS REQUIRED BY ADM
114,PERSON DRIVING ON HWY VEH WITH VISIBLE BLUE LAMP
115,EXCEEDING POSTED MAXIMUM SPEED LIMIT 54 MPH IN A POSTED 45 MPH ZONE
116,POSSESSING SUSPENDED LIC
117,FAILURE TO IMMEDIATELY STOP VEH AT SCENE OF ACCIDENT INVOLVING BODILY INJURY
118,MOTOR VEHWO REQUIRED STOP LAMPS EQUIPMENT
119,DRIVER FAIL TO STOP AT FLASHING RED TRAFFIC SIGNAL STOP LINE
120,DRIVINGTO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION
121,FAILURE TO DRIVE RIGHT OF CENTER
122,EXCEEDING MAXIMUM SPEED 45 MPH IN A POSTED 35 MPH ZONE
123,EXCEEDING POSTED MAXIMUM SPEED LIMIT 57 MPH IN A POSTED 35 MPH ZONE
124,PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON SUSPENDED OUTOFSTATE LICENSE
125,KNOWINGLY DRIVING OWNER KNOWINGLY PERMITTING TO BE DRIVEN UNINSURED VEHICLE
126,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 26204
127,FAILURE TO DRIVE ON RIGHT HAND ROADWAY OF DIVIDED HWY
128,EXCEEDING POSTED MAXIMUM SPEED LIMIT 49 MPH IN A POSTED 40 MPH ZONE
129,HOLDER OF LEARNERS PERMIT DRIVING WO REQ SUPERVISION
130,DRIVING VEH WO ADEQUATE REAR REG PLATE ILLUMINATION
131,DRIVING VEH WO OWNERS CONSENT WITH INTENT TO DEPRIVE OWNER
132,EXCEEDING MAXIMUM SPEED 72 MPH IN A POSTED 40 MPH ZONE
133,DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION
134,EXCEEDING MAXIMUM SPEED 55 MPH IN A POSTED 35 MPH ZONE
135,FAILURE OF DR TO MAKE LANE CHANGE TO AVAIL LANE NOT IMMED ADJ TO STOPPED EMERG VEH
136,DISPLAYING REG PLATE ISSUED FOR OTHER VEHICLE
137,FAILURE TO SECURELY FASTEN REGISTRATION PLATE TO VEHICLE
138,EXCEEDING MAXIMUM SPEED 64 MPH IN A POSTED 55 MPH ZONE
139,EXCEEDING MAXIMUM SPEED 68 MPH IN A POSTED 55 MPH ZONE
140,EXCEEDING MAXIMUM SPEED 72 MPH IN A POSTED 55 MPH ZONE
141,EXCEEDING MAXIMUM SPEED 55 MPH IN A POSTED 40 MPH ZONE
142,EXCEEDING MAXIMUM SPEED 49 MPH IN A POSTED 40 MPH ZONE
143,EXCEEDING POSTED MAXIMUM SPEED LIMIT 98 MPH IN A POSTED 55 MPH ZONE
144,DRIVING VEH WHILE IMPAIRED BY A CONTROLLED DANGEROUS SUBSTANCE
145,DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE
146,DRIVING OFF ROADWAY WHILE PASSING VEHICLE
147,DRIVING VEH WHILE IMPAIRED BY ALCOHOL
148,DRIVER FAILURE TO YIELD RIGHT OF WAY CROSSING HWY FROM PRIVATE ROAD
149,FAILURE TO STOP AFTER ACCIDENT INVOLVING DAMAGE TO ATTENDED VEH
150,DRIVER FAILURE TO REDUCE LIGHT DISTRIBUTION WHEN WITHIN 300 FEET OF APPROACHING VEH FROM REAR
151,EXCEEDING MAXIMUM SPEED 100 MPH IN A POSTED 55 MPH ZONE
152,EXCEEDING MAXIMUM SPEED 90 MPH IN A POSTED 55 MPH ZONE
153,DRING WHILE LICENSE SUSPENDED UNDER ARTICLE 17106
154,FAILURE TO ATTACH VEH REG PLATES AT FRONT AND REAR
155,DRIVING ATTEMPTING TO DRIVE MOTOR VEHICLE WITH ALCOHOL IN BLOOD IN VIOLATION OF RESTRICTION
156,DRIVING ON HWY WITH OBJMATERIALOBSTRUCT HANGINGFROM REARVIEW MIRROR INTERFERING WCLEAR VIEW
157,EXCEEDING POSTED MAXIMUM SPEED LIMIT 70 MPH IN A POSTED 55 MPH ZONE
158,CAUSING STANDING VEH TO OBSTRUCT FREE VEH PASSAGE OF ROADWAY
159,DRIVING MOTOR VEH WHILE LIC SUSPENDED UNDER TR 26206
160,DRIVING WHILE IMPAIRED BY DRUGS OR DRUGS AND ALCOHOL
161,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 60
162,DRIVER FAIL TO MAKE REQUIRED STOP AT SIGNAL
163,VIOLATING PROVISIONAL LIC RESTRICTION
164,FAILURE OF DRIVER TO STOP UPON APPROACH BY POLICE VEH USING SIGNALS
165,EXCEEDING MAXIMUM SPEED 70 MPH IN A POSTED 55 MPH ZONE
166,EXCEEDING MAXIMUM SPEED 75 MPH IN A POSTED 55 MPH ZONE
167,FAILING TO SECURE CHILD UNDER AGE 8 IN CHILD SAFETY SEAT WHEN TRANSPORTING IN MOTOR VEHICLE
168,FAILURE OF DRIVER INVOLVED IN ACCIDENT TO RENDER REASONABLE ASSISTANCE TO INJURED PERSON
169,OCCUPANT UNDER 16 NOT RESTRAINED BY SEATBELT
170,EXCEEDING MAXIMUM SPEED 75 MPH IN A POSTED 60 MPH ZONE
171,DRIVER FAILURE TO STOP FOR PEDESTRIAN IN CROSSWALK
172,LEFT TURN FROM IMPROPER ROAD POSITION
173,FAILURE TO CARRY REGISTRATION CARD WITHIN VEHICLE
174,EXCEEDING MAXIMUM SPEED 47 MPH IN A POSTED 30 MPH ZONE
175,FAILURE YIELD RIGHT OF WAY ON LEFT TURN
176,EXCEEDING MAXIMUM SPEED 55 MPH IN A POSTED 30 MPH ZONE
177,DRIVER FAILURE TO STOP AT INTERSECTION HWY STOP SIGN AND YIELD RIGHTOFWAY
178,DRIVER FAIL TO YIELD INTERSECTION RIGHTOFWAY TO VEH AFTER TURN ON RED
179,PASSENGER AGE 16 OR MORE IN OUTBOARD FRONT SEAT OF MOTOR VEHICLE WITHOUT SEATBELT RESTRAINT
180,RT TURN FROM IMPROPER ROAD POSITION
181,EXCEEDING MAXIMUM SPEED 52 MPH IN A POSTED 40 MPH ZONE
182,FAIL VEH DRIVER IN ACCTO RPT ATTENDED VEH DAMAGETO NEAREST POLICE
183,EXCEEDING POSTED MAXIMUM SPEED LIMIT 55 MPH IN A POSTED 35 MPH ZONE
184,DRIVING ATTEMPTING TO DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION
185,FAILURE OF VEH DRIVER IN ACCIDENT TO LOCATE AND NOTIFY OWNER OF UNATTENDED PROPERY OF DAMAGE
186,EXCEEDING MAXIMUM SPEED 94 MPH IN A POSTED 55 MPH ZONE
187,HOLDER OF LEARNERS PERMIT DRIVING WITH UN AUTHORIZED PERSON OCCUPYING FRONT SEAT
188,STOPPING VEH ON CROSSWALK
189,FAILURE TO EQUIP VEH WITH REQUIRED REAR STOP LAMP
190,EXCEEDING MAXIMUM SPEED 62 MPH IN A POSTED 35 MPH ZONE
191,FAILURE OF DRIVER TO DRIVE TO CURB UPON SIGNAL BY POLICE VEH
192,FAILURE TO DISPLAY TWO LIGHTED FRONT LAMPS WHEN REQUIRED
193,EXCEEDING POSTED MAXIMUM SPEED LIMIT 68 MPH IN A POSTED 50 MPH ZONE
194,FAILURE TO STOP FOR STOPPED SCHOOL VEH OPERATING ALTERNATELY FLASHING RED LIGHTS
195,DRIVING VEH WHILE SO FAR IMPAIRED BY DRUGS CANNOT DRIVE SAFELY
196,DRIVER FAIL TO MAKE REQUIRED STOP AT SIGN
197,EXCEEDING MAXIMUM SPEED 48 MPH IN A POSTED 30 MPH ZONE
198,EXCEEDING MAXIMUM SPEED 63 MPH IN A POSTED 50 MPH ZONE
199,DRIVIING VEH WHILE IMPAIRED BY ALCOHOL
200,VEH DRIVER GIVING FALSE AND FICTITIOUS NAME TO UNIFORMED POLICE
201,PERMITTING VEH TO BE DRIVEN ON HWY WO CURRENT REGISTRATION VALIDATION TABS ISSUED BY ADM
202,FAIL AND REFUSE TO SURRENDER TO ADM ON LAWFUL DEMAND SUSPENDED LIC
203,DRIVING UNSECURED LOADED VEH
204,DRIVING A DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION
205,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 74 MPH
206,EXCEEDING MAXIMUM SPEED 67 MPH IN A POSTED 50 MPH ZONE
207,EXCEEDING MAXIMUM SPEED 70 MPH IN A POSTED 45 MPH ZONE
208,EXCEEDING POSTED MAXIMUM SPEED LIMIT 54 MPH IN A POSTED 35 MPH ZONE
209,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER TR
210,PERSON DRIVING MOTOR VEHICLE ON HIGHWAY OR PUBLIC USE PROPERTY ON REVOKED OUTOFSTATE LICENSE
211,DRIVING MOTOR VEHICLE WITH ALCOHOL IN BLOOD IN VIOLATION OF RESTRICTION
212,DRIVING A MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION
213,EXCEEDING MAXIMUM SPEED 56 MPH IN A POSTED 40 MPH ZONE
214,EXCEEDING MAXIMUM SPEED 51 MPH IN A POSTED 40 MPH ZONE
215,PERSON DRIVING ON HWY WITH VISIBLE BLUE LAMP
216,FRAUDULENTLY APPLYING FOR VEH REG
217,DRIVING VEHICLE IN VIOLATION OF RESTRICTED LICENSE REQUIREMENT
218,OPER MOTOR VEH WITH OCCUPANT UNDER 16 NOT RESTRAINED BY SEAT BELT
219,DRIVING DRIVE MOTOR VEHICLE ON HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION
220,FOLLOWING VEH TOO CLOSELY
221,DRIVER FAILURE TO STOP AT STOP SIGN BEFORE ENTERING CROSSWALK
222,PERSON DRIVING MOTOR VEH ON HWY PUBLIC USE PROPERTY ON SUSPENDED LIC AND PRIVILEGE
223,EXCEEDING MAXIMUM SPEED 46 MPH IN A POSTED 30 MPH ZONE
224,EXCEEDING POSTED MAXIMUM SPEED LIMIT 57 MPH IN A POSTED 40 MPH ZONE
225,EXCEEDING MAXIMUM SPEED 80 MPH IN A POSTED 45 MPH ZONE
226,DISPLAY CAUSE PERMIT TO BE DISPLAYED SUSPENDED LIC
227,FAILURE TO NOTIFY ADM OF ADDRESS CHANGE WITHIN 30 DAYS
228,FAILURE OF VEH DRIVER TO FURNISH REQD WRITTEN IDINFO ON UNATTENEDED DAMAGED VEH
229,EXCEEDING POSTED MAXIMUM SPEED LIMIT 59 MPH IN A POSTED 40 MPH ZONE
230,EXCEEDING MAXIMUM SPEED 59 MPH IN A POSTED 40 MPH ZONE
231,EXCEEDING POSTED MAXIMUM SPEED LIMIT 65 MPH IN A POSTED 40 MPH ZONE
232,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 40
233,DISPLAY REVOKED LIC
234,EXCEEDING MAXIMUM SPEED 50 MPH IN A POSTED 30 MPH ZONE
235,FAILURE YIELD RIGHT OF WAY ON U TURN
236,FAILURE TO STOP FOR STOPPED VEH OPERATING ALTERNATELY FLASHING RED LIGHTS
237,EXCEEDING POSTED MAXIMUM SPEED LIMIT 55 MPH IN A POSTED 40 MPH ZONE
238,UNSAFE BACKING OF MOTOR VEH
239,STOPPING STANDING VEH ON CROSSWALK
240,EXCEEDING POSTED MAXIMUM SPEED LIMIT 57 MPH IN A POSTED 45 MPH ZONE
241,DRIVING MOTOR VEH WHILE LIC SUSPENDED UNDER TR 17106 26204 26206 27103
242,DRIVING LEFT OF ROADWAY CENTER IN OVERTAKING AND PASSING WHEN UNSAFE
243,DRIVE MOTOR HIGHWAY WITHOUT REQUIRED LICENSE AND AUTHORIZATION
244,EXCEEDING POSTED MAXIMUM SPEED LIMIT 52 MPH IN A POSTED 30 MPH ZONE
245,DRIVING VEH ON HWY WO REQUIRED MINIMUM EQUIPMENT
246,DRIVING MOTOR VEH WHILE LIC SUSPENDED IN OTHER STATE FOR FAILURE TO PAY FINE
247,EXCEEDING POSTED MAXIMUM SPEED LIMIT 60 MPH IN A POSTED 40 MPH ZONE
248,PERSON DRIVING MOTOR VEHICLE WHILE LICENSE SUSPENDED UNDER 26206
249,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 80 IN 55
250,EXCEEDING MAXIMUM SPEED 81 MPH IN A POSTED 55 MPH ZONE
251,PERSON DRIVING MOTOR VEH ON HWY ON SUSPENDED LIC AND PRIVILEGE
252,EXCEEDING MAXIMUM SPEED 79 MPH IN A POSTED 55 MPH ZONE
253,UNLAWFUL USE OF HISTORIC PASSENGER VEH FOR GENERAL DAILY TRANSPORTATION
254,FAILURE TO PROPERLY MAINTAIN AND FASTEN VEHICLE REGISTRATION PLATE IN VISIBLE POSITION
255,EXCEEDING MAXIMUM SPEED 62 MPH IN A POSTED 40 MPH ZONE
256,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 80MPH
257,DISPLAYING EXPIRED REGISTRATION PLATES ISSUED BY ANY STATE
258,EXCEEDING MAXIMUM SPEED 61 MPH IN A POSTED 40 MPH ZONE
259,EXCEEDING MAXIMUM SPEED 61 MPH IN A POSTED 35 MPH ZONE
260,EXCEEDING MAXIMUM SPEED 40 MPH IN A POSTED 30 MPH ZONE
261,EXCEEDING MAXIMUM SPEED 69 MPH IN A POSTED 45 MPH ZONE
262,OPERATOR FAILURE TO USE SEAT BELT
263,DRIVER FAILURE TO YIELD RIGHT OF WAY ENTERING HWY FROM PRIVATE DRIVEWAY
264,PARKING VEH ON HWY OUTSIDE BUSINESS RESIDENTIAL DISTRICT
265,DRIVING MOTOR VEH WHILE LIC SUSPENDED UNDER 26206
266,FAILURE TO DISPLAY REFLECT RED COLOR LIGHT ON REAR LAMPS AND REFLECTORS AS REQ
267,DRIVER READING A ELECTRONIC MSG WHILE OPER VEH IN TRAVEL PORTION OF HWY
268,IMPROPER PASSING OF OVERTAKEN VEHICLE
269,DRIVING ON HWY WITH OBSTRUCTED WINDSHIELD VIEW
270,UNSAFE LANE CHANGING
271,DRIVING MOTOR VEH WHILE LIC SUSPENDED UNDER TR 26204
272,EXCEEDING MAXIMUM SPEED 58 MPH IN A POSTED 40 MPH ZONE
273,FAILURE TO SURRENDER RECOVERED ORIGINAL AFTER ISSUANCE OF DUPLICATE
274,FAILURE OF VEH DRIVER TO STOP AFTER UNATTENDED PROPERTY DAMAGE ACCIDENT
275,DRIVING VEHICLE IN EXCESS OF REASONABLE AND PRUDENT SPEED ON HIGHWAY 45MPH
276,ATTEMPTING TO DRIVE VEH WHILE SO FAR IMPAIRED BY DRUGS OR DRUGS AND ALCOHOL CANNOT DRIVE SAFELY
277,EXCEEDING MAXIMUM SPEED 49 MPH IN A POSTED 30 MPH ZONE
278,DRIVING UNSAFE VEH ON HWY
279,FAILURE TO REDUCE SPEED IN DANGEROUS WEATHER
280,EXCEEDING MAXIMUM SPEED 69 MPH IN A POSTED 40 MPH ZONE
281,EXCEEDING HIGHWAY WORK ZONE SPEED LIMIT
282,DRIVING VEH ON HWY WITH LAMP DEVICEIMPROPERLY DISPLAYING WHITE LIGHT FROM REAR
283,FAILING TO DISPLAY PROPER VEHICLE ID
284,DRIVER FAIL TO STOP AT STEADY CIRCULAR RED SIGNAL OR AT STEADY RED ARROW SIGNAL
285,DRIVING VEH NOT EQUIPPED WITH AN IGNITION INTERLOCK AS REQUIRED BY PROGRAM
286,ATTEMPT BY DRIVER TO ELUDE POLICE IN OFFICIAL POLICE VEHICLE BY FAILING TO STOP
287,DRIVING A MOTOR VEHICLE WITHOUT LIGHTED HEAD LAMPSWHILE OPERATING WINDSHIELD WIPERS
288,FAILURE OF DRIVER TO YIELD RIGHTOFWAY TO POLICE VEH USING SIGNALS
289,FAIL TO TRANSPORT CHILD UNDER AGE 16 IN CHILD SAFTEY SEAT PER INSTRUCTIONS A SEAT BELT
290,EXCEEDING MAXIMUM SPEED 41 MPH IN A POSTED 40 MPH ZONE
291,LEAVING UNATTENDED VEH WO STOPPING ENGINE LOCKING IGNITION REMOVING KEY SETTING BRAKE
292,EXCEEDING POSTED MAXIMUM SPEED LIMIT 63 MPH IN A POSTED 40 MPH ZONE
293,HOLDER OF NONCOMMERCIAL CLASS C DR LIC DRIVE ON HWY MV OF THE TYPE AUTH BY LIC
294,DRIVING WHILE LIC SUSP UNDER
295,FAILURE TO MAINTAIN LEGIBLE REGISTRATION PLATE FREE FROM FOREIGN MATERIALS COVERS
296,FAILURE OF INDIVIDUAL DRIVING ON HWY TO HAVE LICWITH HIM
297,FAILURE OF DRIVER TO MAKE LANE CHANGE TO AVAILABLELANE NOT IMMED ADJACENT TO STOPPED EMERG VEH
298,EXCEEDING MAXIMUM SPEED 66 MPH IN A POSTED 45 MPH ZONE
299,DRIVING WRONG WAYONE WAY STREET
300,DRIVING VEH WHILE WEARING EARPHONES
301,EXCEEDING POSTED MAXIMUM SPEED LIMIT 50 MPH IN A POSTED 40 MPH ZONE
302,POSSESSING FICTITIOUS LIC
303,fAIL OF DRIVER IN ATTENDED PROPERTY ACCIDENT TO FURNISH REQ ID LIC
304,DRIVING VEH ON HWY WITH SUSPENDED REGISTRATION
